20/8/2025, 8:05:41 a. m.,"sergio",4/5,"[2,1,0,1,2]"
20/8/2025, 8:11:21 a. m.,"sergio",2/5,"[2,0,0,1,0]"
20/8/2025, 8:32:23 a. m.,"juan",1317,1,2,7.66s
20/8/2025, 8:33:20 a. m.,"sergio",1414,1,2,13.23s
20/8/2025, 8:34:18 a. m.,"iiiiii",0,0,3,7.89s
